project_id,project_title,project_kind,proof_tier,component_count,quality_gate_counts,upgrade_class_counts,source_strategy,distinctiveness_component_to_build,distinctiveness_component_operation,distinctiveness_component_output,acceptance_test,best_improvement,build_status
native-atanalysis,Analysis Tradecraft,structured analysis room,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,human-AI analytic delta: 17,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",Human-analytic delta demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.",source-backed proof build; needs source-to-output capture and close-read strengthening
native-berlin,Berlin Occupation Zones and Refugee Crisis,retrieval / evidence software,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,retrieval replay harness: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Adversarial retrieval replay demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,replayable clean/contaminated trace with gate decision,A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.",source-backed proof build; needs source-to-output capture and close-read strengthening
native-capstone-defense,Cognitive Firewalls Capstone Defense,capstone defense / research presentation,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,source-to-output proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,Capture a concrete run trace or exported proof artifact for this project type; the project is currently more specified than demonstrated.,source-backed proof build; needs source-to-output capture and close-read strengthening
native-capstone-defense-noland,Cognitive Firewalls Defense Room,research study,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,source-to-output proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add method-result boundary, validity threats, what the study can and cannot generalize, and a practitioner-facing implication.",source-backed proof build; needs source-to-output capture and close-read strengthening
native-capstone-quantitative,Quantitative Capstone Workbench,future quantitative experiment apparatus,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,source-to-output proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Separate proposed conditions, scoring variables, reliability checks, and disconfirmation rules from any result claims; then add one simulated run artifact.",source-backed proof build; needs source-to-output capture and close-read strengthening
native-cianalysis,Counterintelligence Analysis,structured analysis room,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,human-AI analytic delta: 17,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",Human-analytic delta demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.",source-backed proof build; needs source-to-output capture and close-read strengthening
native-cicc,ICC Complementarity Case Room,historical / policy case room,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,implementation scenario: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.",source-backed proof build; needs source-to-output capture and close-read strengthening
native-cmanalysis,Collection Management Analysis,structured analysis room,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,human-AI analytic delta: 17,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",Human-analytic delta demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.",source-backed proof build; needs source-to-output capture and close-read strengthening
native-coanalysis,Counterintelligence Operations Analysis,structured analysis room,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,human-AI analytic delta: 17,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",Human-analytic delta demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.",source-backed proof build; needs source-to-output capture and close-read strengthening
native-crusades,Crusades and Mediterranean Order,historical / policy case room,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,implementation scenario: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.",source-backed proof build; needs source-to-output capture and close-read strengthening
native-cyanalysis,Cyber Analysis,structured analysis room,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,human-AI analytic delta: 17,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",Human-analytic delta demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.",source-backed proof build; needs source-to-output capture and close-read strengthening
native-ddianalysis,Directorate Analysis Method,structured analysis room,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,human-AI analytic delta: 17,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",Human-analytic delta demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.",source-backed proof build; needs source-to-output capture and close-read strengthening
native-east-asia,East Asian War and Strategic Tradition,research workflow software,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,Use sources to strengthen cross-field mechanism transfer and academic-stage dependency. Sources should not merely answer a query; they should help move a mechanism from one field into another while marking downstream stages stale when upstream assumptions change.,Runtime state-transition demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.",source-backed proof build; needs source-to-output capture and close-read strengthening
native-emt,Emergency Triage Simulator,operational simulation / planning tool,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,scenario replay: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add one replayable scenario: initial condition, decision variable, constraint, model operation, output, and after-action review.",source-backed proof build; needs source-to-output capture and close-read strengthening
native-etanalysis,Emerging Technology Analysis,structured analysis room,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,human-AI analytic delta: 17,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",Human-analytic delta demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.",source-backed proof build; needs source-to-output capture and close-read strengthening
native-fwanalysis,Foreign Warning Analysis,structured analysis room,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,human-AI analytic delta: 17,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",Human-analytic delta demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.",source-backed proof build; needs source-to-output capture and close-read strengthening
native-habitat,Volunteer Build-Day Coordination,operational simulation / planning tool,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,scenario replay: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add one replayable scenario: initial condition, decision variable, constraint, model operation, output, and after-action review.",source-backed proof build; needs source-to-output capture and close-read strengthening
native-hsanalysis,Homeland Security Analysis,structured analysis room,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,human-AI analytic delta: 17,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",Human-analytic delta demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.",source-backed proof build; needs source-to-output capture and close-read strengthening
native-icanalysis,Intelligence Community Analysis,structured analysis room,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,human-AI analytic delta: 17,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",Human-analytic delta demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.",source-backed proof build; needs source-to-output capture and close-read strengthening
native-iscproposals,Counterintelligence Surveillance Framework,policy / governance proposal,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,implementation scenario: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add one implementation scenario: policy problem, decision rule, control point, abuse case, measurable criterion, and revision trigger.",source-backed proof build; needs source-to-output capture and close-read strengthening
native-london,Colonial Archive Explorer,archive / packet router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
native-magnum-opus,Magnum Opus,retrieval / evidence software,specified-proof-plan-needs-demo,10,READY_FOR_CAPTURE: 10,retrieval replay harness: 10,"Use sources to test retrieval as scholarly warrant rather than as fluent search. The proof must show corpus boundary, retrieved passage, evidence score, negative-space finding, abstention case, and claim boundary.",Scholarly retrieval warrant and abstention trace,"Run a question through a bounded local corpus slice; show retrieved passages, evidence score, negative-space finding, abstention case, and final claim boundary.",A retrieval trace that distinguishes fluent context from warranted source support.,A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Show Magnum Opus as a local scholarly warrant system, not merely a query interface.",specified proof plan; needs live or replayable demonstrator
native-master-bundle-pages,Master Bundle Pages,archive / packet router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to govern packet promotion: identity, provenance, extraction status, authority level, project route, duplicate risk, and the next build decision for each bundle item.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
native-mideast,Ottoman Palestine and Early Zionism,research workflow software,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,Use sources to strengthen cross-field mechanism transfer and academic-stage dependency. Sources should not merely answer a query; they should help move a mechanism from one field into another while marking downstream stages stale when upstream assumptions change.,Runtime state-transition demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.",source-backed proof build; needs source-to-output capture and close-read strengthening
native-mongol,Mongol Empire Military Systems,research workflow software,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,Use sources to strengthen cross-field mechanism transfer and academic-stage dependency. Sources should not merely answer a query; they should help move a mechanism from one field into another while marking downstream stages stale when upstream assumptions change.,Runtime state-transition demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.",source-backed proof build; needs source-to-output capture and close-read strengthening
native-murano,Murano,software operating environment,specified-proof-plan-needs-demo,11,READY_FOR_CAPTURE: 11,runtime state trace: 11,"Use sources to make the operating environment professionally legible: rooms, instruments, records, agents, review gates, and export limits should map to recognized research, organizational, or human-computer workflow principles.",Room-state operating loop demonstrator,"Move one research project through room selection, instrument execution, agent or department handoff, SQLite/state update, review gate, and exported work product.","Before/after state record, instrument output, handoff trail, review decision, and export boundary.",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Show MuranoOS as a research operating environment that builds workstations, not as a private dashboard.",specified proof plan; needs live or replayable demonstrator
native-peace,Track II Diplomacy and Peacebuilding,historical / policy case room,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,implementation scenario: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.",source-backed proof build; needs source-to-output capture and close-read strengthening
native-pharm,Vaccine Distribution Planner,operational simulation / planning tool,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,scenario replay: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add one replayable scenario: initial condition, decision variable, constraint, model operation, output, and after-action review.",source-backed proof build; needs source-to-output capture and close-read strengthening
native-poison-rag,Retrieval Integrity and Poisoning Defense,retrieval security / evaluation harness,specified-proof-plan-needs-demo,9,READY_FOR_CAPTURE: 9,retrieval replay harness: 9,"Use sources to define retrieval threat models, poisoning pathways, evidence-chain failure points, and evaluation gates. The proof must show trace movement from source admission through retrieval, answer formation, human review, and release decision.",Mixed-speed Poison-RAG replay harness,"Run a clean baseline, slow poison, fast injection, and authority-wrapper attack through source admission, indexing, retrieval, generation, human review, and release decision.","Retrieval trace, answer deformation record, reviewer-burden estimate, and block/narrow/abstain decision.",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Build the adversarial replay as a visible chain so the project is understood as retrieval-security engineering, not a general AI-risk page.",specified proof plan; needs live or replayable demonstrator
native-portfolio-index,Full Project Catalogue,archive / packet router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
native-psanalysis,Political Strategy Analysis,structured analysis room,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,human-AI analytic delta: 17,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",Human-analytic delta demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.",source-backed proof build; needs source-to-output capture and close-read strengthening
native-respite,Recovery Respite Facility Operations,operational simulation / planning tool,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,scenario replay: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add one replayable scenario: initial condition, decision variable, constraint, model operation, output, and after-action review.",source-backed proof build; needs source-to-output capture and close-read strengthening
native-russia,Russia,research workflow software,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,Use sources to strengthen cross-field mechanism transfer and academic-stage dependency. Sources should not merely answer a query; they should help move a mechanism from one field into another while marking downstream stages stale when upstream assumptions change.,Runtime state-transition demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.",source-backed proof build; needs source-to-output capture and close-read strengthening
native-russia-history-room,Russia Historical Context Room,research workflow software,specified-proof-plan-needs-demo,8,READY_FOR_CAPTURE: 8,runtime state trace: 8,Use sources to strengthen cross-field mechanism transfer and academic-stage dependency. Sources should not merely answer a query; they should help move a mechanism from one field into another while marking downstream stages stale when upstream assumptions change.,Runtime state-transition demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.",specified proof plan; needs live or replayable demonstrator
native-russia-security-desk,Russia Security Desk,research workflow software,specified-proof-plan-needs-demo,8,READY_FOR_CAPTURE: 8,runtime state trace: 8,Use sources to strengthen cross-field mechanism transfer and academic-stage dependency. Sources should not merely answer a query; they should help move a mechanism from one field into another while marking downstream stages stale when upstream assumptions change.,Runtime state-transition demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.",specified proof plan; needs live or replayable demonstrator
native-trilogy-showcase,Book Trilogy Showcase,book / manuscript system,specified-proof-plan-needs-demo,11,READY_FOR_CAPTURE: 11,chapter dossier proof: 11,"Use sources to govern chapter argument, voice register, public title, source burden, and cross-chapter handoff. Each source should either thicken the chapter claim, sharpen a counterclaim, or constrain the public formulation.",Chapter dossier demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"chapter-specific title, visual, source, argument, rewrite decision",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add chapter-level dossiers showing title logic, argument skeleton, source role, rewrite decision, and visual specificity for representative chapters.",specified proof plan; needs live or replayable demonstrator
native-trilogy-showcase-atlas,Book Trilogy Atlas,method atlas / taxonomy,specified-proof-plan-needs-demo,11,READY_FOR_CAPTURE: 11,chapter dossier proof: 11,"Use sources to govern chapter argument, voice register, public title, source burden, and cross-chapter handoff. Each source should either thicken the chapter claim, sharpen a counterclaim, or constrain the public formulation.",Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add one classified example that travels through the taxonomy: observed failure or bias, category assignment, rival category, reviewer decision, and resulting mitigation.",specified proof plan; needs live or replayable demonstrator
native-uscri,Refugee Resettlement Resource Allocation,operational simulation / planning tool,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,scenario replay: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add one replayable scenario: initial condition, decision variable, constraint, model operation, output, and after-action review.",source-backed proof build; needs source-to-output capture and close-read strengthening
native-war-theory,War Theory and Strategic Culture,historical / policy case room,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,implementation scenario: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.",source-backed proof build; needs source-to-output capture and close-read strengthening
native-wargaming,Alliance Crisis Wargaming,strategic simulation / planning tool,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,scenario replay: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add one replayable scenario: initial condition, decision variable, constraint, model operation, output, and after-action review.",source-backed proof build; needs source-to-output capture and close-read strengthening
native-western,Western Political Thought and the Ideal State,research workflow software,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,Use sources to strengthen cross-field mechanism transfer and academic-stage dependency. Sources should not merely answer a query; they should help move a mechanism from one field into another while marking downstream stages stale when upstream assumptions change.,Runtime state-transition demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.",source-backed proof build; needs source-to-output capture and close-read strengthening
personal-os,"Personal OS - MuranoOS, a personal operating system, local workbench, and project foundation",software operating environment,specified-proof-plan-needs-demo,11,READY_FOR_CAPTURE: 11,runtime state trace: 11,"Use sources to make the operating environment professionally legible: rooms, instruments, records, agents, review gates, and export limits should map to recognized research, organizational, or human-computer workflow principles.",Runtime state-transition demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.",specified proof plan; needs live or replayable demonstrator
planning,"Development Process - how projects move from idea to built, reviewed work",public project blueprint,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,source-to-output proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,Capture a concrete run trace or exported proof artifact for this project type; the project is currently more specified than demonstrated.,source-backed proof build; needs source-to-output capture and close-read strengthening
poison-rag-defense-annex,Adversarial Evidence Corruption and Poison-RAG Defense - advisor technical annex for LLM-supported analytic judgment,retrieval security / evaluation harness,specified-proof-plan-needs-demo,9,READY_FOR_CAPTURE: 9,retrieval replay harness: 9,"Use sources to define retrieval threat models, poisoning pathways, evidence-chain failure points, and evaluation gates. The proof must show trace movement from source admission through retrieval, answer formation, human review, and release decision.",Adversarial evidence-corruption evaluation capsule,"Convert the advisor annex into a replayable mini-evaluation: adversarial packet, retrieval trace, analyst validation step, defensive gate, replay record, and claim boundary.","Evaluation capsule showing what was attacked, what was retrieved, what the analyst checked, and what the system allowed, narrowed, or blocked.",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Use the annex as a future-work technical architecture, not as completed empirical results.",specified proof plan; needs live or replayable demonstrator
project-hardening,"Quality Review - checking project claims against evidence, scope, and readiness",public project blueprint,authored-proof-build-needs-demo,3,READY_FOR_CAPTURE: 3,source-to-output proof: 3,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,Capture a concrete run trace or exported proof artifact for this project type; the project is currently more specified than demonstrated.,proof build required
red-team-lab,Red Team Lab - consolidated counter-deception lab across five authority roles,archive / packet router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
reflexive-control-chamber,Reflexive Control Chamber - Russian reflexive-control & strategic-deception research chamber,domain analysis desk,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,source-to-output proof: 17,"Use sources to convert regional knowledge into bounded analytic variables: actor interests, institutional constraints, strategic culture, deception patterns, force posture, and uncertainty limits.",Human-analytic delta demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add one source-to-judgment chain: source family, analytic variable, competing interpretation, confidence boundary, and policy implication.",source-backed proof build; needs source-to-output capture and close-read strengthening
