project_id,project_title,new_component,why_needed,input,operation,output,source_candidates,source_boundary,acceptance_test
native-east-asia,East Asian War and Strategic Tradition,Runtime state-transition demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC | (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
native-emt,Emergency Triage Simulator,Source-to-output distinctiveness demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",Basic Methods of Policy Analysis and Planning Carl V. Patton et al | Covert Action in the Cold War US Policy Intelligence and CIA Operations (International Library of Twentieth Century History Volume 21) ( PDFDrive ) | Covert Action in the Cold War US Policy Intelligence and CIA Operations (International Library of Twentieth Century History Volume 21) ( PDFDrive ) (2),metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
native-etanalysis,Emerging Technology Analysis,Human-analytic delta demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",Pherso Counterintelligence Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2),metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
native-fwanalysis,Foreign Warning Analysis,Human-analytic delta demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",Pherso Counterintelligence Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2),metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
native-habitat,Volunteer Build-Day Coordination,Source-to-output distinctiveness demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",Basic Methods of Policy Analysis and Planning Carl V. Patton et al | Covert Action in the Cold War US Policy Intelligence and CIA Operations (International Library of Twentieth Century History Volume 21) ( PDFDrive ) | Covert Action in the Cold War US Policy Intelligence and CIA Operations (International Library of Twentieth Century History Volume 21) ( PDFDrive ) (2),metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
native-hsanalysis,Homeland Security Analysis,Human-analytic delta demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",Pherso Counterintelligence Structured Analytic Techniques | Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2),metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
native-icanalysis,Intelligence Community Analysis,Human-analytic delta demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",Pherso Counterintelligence Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2),metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
native-iscproposals,Counterintelligence Surveillance Framework,Source-to-output distinctiveness demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary","National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC | National Security and Counterintelligence in the Era of Cyber Espionage Eugenie de Silva | No Place for Russia European Security Institutions Since 1989 Hill, William H",metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
native-london,Colonial Archive Explorer,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | A Historical Companion to Postcolonial Literatures Continental Europe and Its Empires Prem Poddar | Central and Eastern European Perspectives on International Relations Viatcheslav Morozov auth Russias Postcolonial Identity A Subaltern Empire in a Eurocentric World Palgrave Macmi,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
native-magnum-opus,Magnum Opus,Adversarial retrieval replay demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,replayable clean/contaminated trace with gate decision,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2) | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
native-master-bundle-pages,Master Bundle Pages,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
native-mideast,Ottoman Palestine and Early Zionism,Runtime state-transition demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
native-mongol,Mongol Empire Military Systems,Runtime state-transition demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,"(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | Statebuilding and Counterinsurgency in Oman Political, Military and Diplomatic Relations at the End of Empire James Worrall | (Ethics and the Military Profession) Martin L. Cook The Moral Warrior Ethics and Service in the U.S. Military State University of New York Press (2004)",metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
native-murano,Murano,Runtime state-transition demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,"A Companion to Environmental Thought Peter Hay | Designing Your Work Life Nik Murano | God, Time, and Knowledge William Hasker",metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
native-peace,Track II Diplomacy and Peacebuilding,Source-to-output distinctiveness demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary","No Place for Russia European Security Institutions Since 1989 Hill, William H | The Routledge Handbook of European Security Law and Policy Elena Conde et al | The Routledge Handbook of European Security Law and Policy Elena Conde et al (2)",metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
native-pharm,Vaccine Distribution Planner,Source-to-output distinctiveness demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",Basic Methods of Policy Analysis and Planning Carl V. Patton et al | Covert Action in the Cold War US Policy Intelligence and CIA Operations (International Library of Twentieth Century History Volume 21) ( PDFDrive ) | Covert Action in the Cold War US Policy Intelligence and CIA Operations (International Library of Twentieth Century History Volume 21) ( PDFDrive ) (2),metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
native-poison-rag,Retrieval Integrity and Poisoning Defense,Adversarial retrieval replay demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,replayable clean/contaminated trace with gate decision,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | Field Evaluation in the Intelligence and Counterintelligence Context Workshop Summary National Research Council et al,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
native-portfolio-index,Full Project Catalogue,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
native-psanalysis,Political Strategy Analysis,Human-analytic delta demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",Pherso Counterintelligence Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2),metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
native-respite,Recovery Respite Facility Operations,Source-to-output distinctiveness demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",Basic Methods of Policy Analysis and Planning Carl V. Patton et al | Covert Action in the Cold War US Policy Intelligence and CIA Operations (International Library of Twentieth Century History Volume 21) ( PDFDrive ) | Covert Action in the Cold War US Policy Intelligence and CIA Operations (International Library of Twentieth Century History Volume 21) ( PDFDrive ) (2),metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
native-russia,Russia,Runtime state-transition demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC | (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
native-russia-history-room,Russia Historical Context Room,Runtime state-transition demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC | Russia’s Global Reach A Security and Statecraft Assessment Graeme P. Herd | Russia's Security Policy under Putin Aglaya Snetkov,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
native-russia-security-desk,Russia Security Desk,Runtime state-transition demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | Field Evaluation in the Intelligence and Counterintelligence Context Workshop Summary National Research Council et al,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
native-trilogy-showcase,Book Trilogy Showcase,Chapter dossier demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"chapter-specific title, visual, source, argument, rewrite decision",Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero | The Guatemalan Military Project A Violence Called Democracy Jennifer Schirmer,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
native-trilogy-showcase-atlas,Book Trilogy Atlas,Source-to-output distinctiveness demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Oxford Handbooks Political Methodologies PDOC | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
native-uscri,Refugee Resettlement Resource Allocation,Source-to-output distinctiveness demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",Basic Methods of Policy Analysis and Planning Carl V. Patton et al | Covert Action in the Cold War US Policy Intelligence and CIA Operations (International Library of Twentieth Century History Volume 21) ( PDFDrive ) | Covert Action in the Cold War US Policy Intelligence and CIA Operations (International Library of Twentieth Century History Volume 21) ( PDFDrive ) (2),metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
native-war-theory,War Theory and Strategic Culture,Source-to-output distinctiveness demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary","(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC | America's Strategic Blunders Intelligence Analysis and National Security Policy, 1936–1991 Willard C. Matthias",metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
native-wargaming,Alliance Crisis Wargaming,Source-to-output distinctiveness demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary","Strategic Planning for Dummies Erica Olsen | strategic planning for dummies PDOC | America's Strategic Blunders Intelligence Analysis and National Security Policy, 1936–1991 Willard C. Matthias",metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
native-western,Western Political Thought and the Ideal State,Runtime state-transition demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,A History of Western Political Thought J. S. McClelland et al | A History of Western Political Thought J. S. McClelland et al (2) | A History of Western Political Thought PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
personal-os,"Personal OS — MuranoOS, a personal operating system, local workbench, and project foundation",Runtime state-transition demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,A Companion to Andrei Platonov's the Foundation Pit Thomas Seifrid | A Companion to Environmental Thought Peter Hay | A Personal Anthology Jorge Luis Borges,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
planning,"Development Process — how projects move from idea to built, reviewed work",Source-to-output distinctiveness demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",American Political Development and Poli | American Political Development and Poli PDOC | Basic Methods of Policy Analysis and Planning Carl V. Patton et al,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
poison-rag-defense-annex,Adversarial Evidence Corruption and Poison-RAG Defense - advisor technical annex for LLM-supported analytic judgment,Adversarial retrieval replay demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,replayable clean/contaminated trace with gate decision,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | Field Evaluation in the Intelligence and Counterintelligence Context Workshop Summary National Research Council et al,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
project-hardening,"Quality Review — checking project claims against evidence, scope, and readiness",Source-to-output distinctiveness demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",American Spies Espionage Against the United States From the Cold War to the Present Michael J. Sulick | American Spies Espionage Against the United States From the Cold War to the Present Michael J. Sulick (2) | American Spies Espionage against the United States from the Cold War to the Present ( PDFDrive ) PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
red-team-lab,Red Team Lab — consolidated counter-deception lab across five authority roles,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
reflexive-control-chamber,Reflexive Control Chamber — Russian reflexive-control & strategic-deception research chamber,Human-analytic delta demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary","Russian Energy Policy and Military Power Putin's quest for greatness Pavel K. Baev | Russian Security and Air Power, 1992 2002 The development of Russian security thinking under Yeltsin and Putin and its consequences for the air forces Marcel de Haas | Soviet High Command a Military political History 1918 1941 A Military Political History 1918 1941 (Soviet Russian) Military Experience Series ( PDFDrive ) PDOC",metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
regional-studies,"Regional Studies — eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western)",Runtime state-transition demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,War changes everything Russia after Ukraine NATO Defense College Research Division Edited by Marc Ozawa | National Human Rights Institutions in Southeast Asia Selected Case Studies James Gomez et al | Putin Takes Crimea 2014 Grey Zone Warfare Opens the Russia Ukraine Conflict Mark Galeotti,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
row1,Quantitative Capstone — quantitative arm of the AI-corruption capstone study,Source-to-output distinctiveness demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
row10,Analyst Workstation — eight-page interactive AI-augmented intelligence-analysis handbook,Human-analytic delta demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",Pherso Counterintelligence Structured Analytic Techniques | Routledge Handbook of Psychoanalytic Political Theory Yannis Stavrakakis | Routledge Handbook of Psychoanalytic Political Theory Yannis Stavrakakis (2),metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
row11,Retrieval Integrity Evaluation — testing Retrieval-Augmented Generation (RAG) against retrieval poisoning and false-source failure,Adversarial retrieval replay demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,replayable clean/contaminated trace with gate decision,American Spies Espionage Against the United States From the Cold War to the Present Michael J. Sulick | American Spies Espionage Against the United States From the Cold War to the Present Michael J. Sulick (2) | American Spies Espionage against the United States from the Cold War to the Present ( PDFDrive ) PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
row14,Defensive Retrieval Research — future study on retrieval-augmented-generation poisoning,Adversarial retrieval replay demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,replayable clean/contaminated trace with gate decision,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
row2,AI Rigor Detection - framework that detects performative rigor in AI-generated analysis; publication status is separated from validation status,Source-to-output distinctiveness demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary","No Place for Russia European Security Institutions Since 1989 Hill, William H | The Routledge Handbook of European Security Law and Policy Elena Conde et al | The Routledge Handbook of European Security Law and Policy Elena Conde et al (2)",metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
row3,"AI Extraction Defense — five-layer architecture protecting proprietary AI models from being extracted, copied, or distilled by adversaries",Human-analytic delta demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",Atlas of World Architecture Markus Sebastian Braun | Atlas of World Architecture Markus Sebastian Braun (2) | Atlas of World Architecture PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
row5,Defense Doctrine — defensive retrieval governance laboratory (claim-limit discipline),Adversarial retrieval replay demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,replayable clean/contaminated trace with gate decision,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2) | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
row6,Scholarly Retrieval System — cross-disciplinary research library with a twelve-stage analytical-governance plane,Adversarial retrieval replay demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,replayable clean/contaminated trace with gate decision,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
row7,Discovery Engine — eight-stage cross-disciplinary research-question discovery apparatus,Runtime state-transition demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
row8,Counter-Terror Analysis — 13-page counter-terror analytical narrative arc,Human-analytic delta demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",Pherso Counterintelligence Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2),metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
russia-desk,Russia Desk — two-page Russian intelligence-and-history analytical desk,Human-analytic delta demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",Russian Energy Policy and Military Power Putin's quest for greatness Pavel K. Baev | Soviet High Command a Military political History 1918 1941 A Military Political History 1918 1941 (Soviet Russian) Military Experience Series ( PDFDrive ) PDOC | Soviet High Command a Military political History 1918 1941 A Military Political History 1918 1941 (Soviet Russian) Military Experience Series ( PDFDrive ) PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
